b0 (interpolated wth step=1e-10) X,b0 (interpolated wth step=1e-10) Y
0,0
1e-10,0
2e-10,0
3e-10,0
4e-10,0
5e-10,0
6e-10,0
7e-10,0
7.999999999999999e-10,0
8.999999999999999e-10,0
9.999999999999999e-10,0
1.1e-09,0
1.2e-09,0
1.3e-09,0
1.4e-09,0
1.5e-09,0
1.6e-09,0
1.7e-09,0
1.8e-09,0
1.9e-09,0
2.000000000000001e-09,0
2.100000000000001e-09,0
2.200000000000001e-09,0
2.300000000000001e-09,0
2.400000000000001e-09,0
2.500000000000001e-09,0
2.600000000000001e-09,0
2.700000000000001e-09,0
2.800000000000001e-09,0
2.900000000000001e-09,0
3.000000000000001e-09,0
3.100000000000001e-09,0
3.200000000000001e-09,0
3.300000000000001e-09,0
3.400000000000001e-09,0
3.500000000000002e-09,0
3.600000000000002e-09,0
3.700000000000002e-09,0
3.800000000000002e-09,0
3.900000000000002e-09,0
4.000000000000002e-09,0
4.100000000000002e-09,0
4.200000000000002e-09,0
4.300000000000002e-09,0
4.400000000000002e-09,0
4.500000000000002e-09,0
4.600000000000002e-09,0
4.700000000000002e-09,0
4.800000000000002e-09,0
4.900000000000003e-09,0
5.000000000000003e-09,0
5.100000000000003e-09,0
5.200000000000003e-09,0
5.300000000000003e-09,0
5.400000000000003e-09,0
5.500000000000003e-09,0
5.600000000000003e-09,0
5.700000000000003e-09,0
5.800000000000003e-09,0
5.900000000000003e-09,0
6.000000000000003e-09,0
6.100000000000003e-09,0
6.200000000000003e-09,0
6.300000000000003e-09,0
6.400000000000004e-09,0
6.500000000000004e-09,0
6.600000000000004e-09,0
6.700000000000004e-09,0
6.800000000000004e-09,0
6.900000000000004e-09,0
7.000000000000004e-09,0
7.100000000000004e-09,0
7.200000000000004e-09,0
7.300000000000004e-09,0
7.400000000000004e-09,0
7.500000000000004e-09,0
7.600000000000004e-09,0
7.700000000000003e-09,0
7.800000000000002e-09,0
7.900000000000001e-09,0
8e-09,0
8.1e-09,0
8.199999999999999e-09,0
8.299999999999998e-09,0
8.399999999999997e-09,0
8.499999999999997e-09,0
8.599999999999996e-09,0
8.699999999999995e-09,0
8.799999999999994e-09,0
8.899999999999994e-09,0
8.999999999999993e-09,0
9.099999999999992e-09,0
9.199999999999991e-09,0
9.299999999999991e-09,0
9.39999999999999e-09,0
9.499999999999989e-09,0
9.599999999999988e-09,0
9.699999999999988e-09,0
9.799999999999987e-09,0
9.899999999999986e-09,0
9.999999999999985e-09,0
1.009999999999998e-08,0
1.019999999999998e-08,0
1.029999999999998e-08,0
1.039999999999998e-08,0
1.049999999999998e-08,0
1.059999999999998e-08,0
1.069999999999998e-08,0
1.079999999999998e-08,0
1.089999999999998e-08,0
1.099999999999998e-08,0
1.109999999999998e-08,0
1.119999999999998e-08,0
1.129999999999998e-08,0
1.139999999999997e-08,0
1.149999999999997e-08,0
1.159999999999997e-08,0
1.169999999999997e-08,0
1.179999999999997e-08,0
1.189999999999997e-08,0
1.199999999999997e-08,0
1.209999999999997e-08,0
1.219999999999997e-08,0
1.229999999999997e-08,0
1.239999999999997e-08,0
1.249999999999997e-08,0
1.259999999999997e-08,0
1.269999999999996e-08,0
1.279999999999996e-08,0
1.289999999999996e-08,0
1.299999999999996e-08,0
1.309999999999996e-08,0
1.319999999999996e-08,0
1.329999999999996e-08,0
1.339999999999996e-08,0
1.349999999999996e-08,0
1.359999999999996e-08,0
1.369999999999996e-08,0
1.379999999999996e-08,0
1.389999999999996e-08,0
1.399999999999995e-08,0
1.409999999999995e-08,0
1.419999999999995e-08,0
1.429999999999995e-08,0
1.439999999999995e-08,0
1.449999999999995e-08,0
1.459999999999995e-08,0
1.469999999999995e-08,0
1.479999999999995e-08,0
1.489999999999995e-08,0
1.499999999999995e-08,0
1.509999999999995e-08,0
1.519999999999995e-08,0
1.529999999999995e-08,0
1.539999999999995e-08,0
1.549999999999995e-08,0
1.559999999999995e-08,0
1.569999999999996e-08,0
1.579999999999996e-08,0
1.589999999999996e-08,0
1.599999999999996e-08,0
1.609999999999996e-08,0
1.619999999999996e-08,0
1.629999999999996e-08,0
1.639999999999996e-08,0
1.649999999999996e-08,0
1.659999999999996e-08,0
1.669999999999996e-08,0
1.679999999999997e-08,0
1.689999999999997e-08,0
1.699999999999997e-08,0
1.709999999999997e-08,0
1.719999999999997e-08,0
1.729999999999997e-08,0
1.739999999999997e-08,0
1.749999999999997e-08,0
1.759999999999997e-08,0
1.769999999999997e-08,0
1.779999999999997e-08,0
1.789999999999997e-08,0
1.799999999999998e-08,0
1.809999999999998e-08,0
1.819999999999998e-08,0
1.829999999999998e-08,0
1.839999999999998e-08,0
1.849999999999998e-08,0
1.859999999999998e-08,0
1.869999999999998e-08,0
1.879999999999998e-08,0
1.889999999999998e-08,0
1.899999999999998e-08,0
1.909999999999999e-08,0
1.919999999999999e-08,0
1.929999999999999e-08,0
1.939999999999999e-08,0
1.949999999999999e-08,0
1.959999999999999e-08,0
1.969999999999999e-08,0
1.979999999999999e-08,0
1.989999999999999e-08,0
1.999999999999999e-08,0
2.009999999999999e-08,0.85
2.02e-08,0.85
2.03e-08,0.85
2.04e-08,0.85
2.05e-08,0.85
2.06e-08,0.85
2.07e-08,0.85
2.08e-08,0.85
2.09e-08,0.85
2.1e-08,0.85
2.11e-08,0.85
2.12e-08,0.85
2.130000000000001e-08,0.85
2.140000000000001e-08,0.85
2.150000000000001e-08,0.85
2.160000000000001e-08,0.85
2.170000000000001e-08,0.85
2.180000000000001e-08,0.85
2.190000000000001e-08,0.85
2.200000000000001e-08,0.85
2.210000000000001e-08,0.85
2.220000000000001e-08,0.85
2.230000000000001e-08,0.85
2.240000000000002e-08,0.85
2.250000000000002e-08,0.85
2.260000000000002e-08,0.85
2.270000000000002e-08,0.85
2.280000000000002e-08,0.85
2.290000000000002e-08,0.85
2.300000000000002e-08,0.85
2.310000000000002e-08,0.85
2.320000000000002e-08,0.85
2.330000000000002e-08,0.85
2.340000000000002e-08,0.85
2.350000000000003e-08,0.85
2.360000000000003e-08,0.85
2.370000000000003e-08,0.85
2.380000000000003e-08,0.85
2.390000000000003e-08,0.85
2.400000000000003e-08,0.85
2.410000000000003e-08,0.85
2.420000000000003e-08,0.85
2.430000000000003e-08,0.85
2.440000000000003e-08,0.85
2.450000000000003e-08,0.85
2.460000000000003e-08,0.85
2.470000000000004e-08,0.85
2.480000000000004e-08,0.85
2.490000000000004e-08,0.85
2.500000000000004e-08,0.85
2.510000000000004e-08,0.85
2.520000000000004e-08,0.85
2.530000000000004e-08,0.85
2.540000000000004e-08,0.85
2.550000000000004e-08,0.85
2.560000000000004e-08,0.85
2.570000000000004e-08,0.85
2.580000000000005e-08,0.85
2.590000000000005e-08,0.85
2.600000000000005e-08,0.85
2.610000000000005e-08,0.85
2.620000000000005e-08,0.85
2.630000000000005e-08,0.85
2.640000000000005e-08,0.85
2.650000000000005e-08,0.85
2.660000000000005e-08,0.85
2.670000000000005e-08,0.85
2.680000000000005e-08,0.85
2.690000000000006e-08,0.85
2.700000000000006e-08,0.85
2.710000000000006e-08,0.85
2.720000000000006e-08,0.85
2.730000000000006e-08,0.85
2.740000000000006e-08,0.85
2.750000000000006e-08,0.85
2.760000000000006e-08,0.85
2.770000000000006e-08,0.85
2.780000000000006e-08,0.85
2.790000000000006e-08,0.85
2.800000000000007e-08,0.85
2.810000000000007e-08,0.85
2.820000000000007e-08,0.85
2.830000000000007e-08,0.85
2.840000000000007e-08,0.85
2.850000000000007e-08,0.85
2.860000000000007e-08,0.85
2.870000000000007e-08,0.85
2.880000000000007e-08,0.85
2.890000000000007e-08,0.85
2.900000000000007e-08,0.85
2.910000000000008e-08,0.85
2.920000000000008e-08,0.85
2.930000000000008e-08,0.85
2.940000000000008e-08,0.85
2.950000000000008e-08,0.85
2.960000000000008e-08,0.85
2.970000000000008e-08,0.85
2.980000000000008e-08,0.85
2.990000000000008e-08,0.85
3.000000000000008e-08,0.85
3.010000000000008e-08,0.85
3.020000000000009e-08,0.85
3.030000000000009e-08,0.85
3.040000000000009e-08,0.85
3.050000000000009e-08,0.85
3.060000000000009e-08,0.85
3.070000000000009e-08,0.85
3.080000000000009e-08,0.85
3.090000000000009e-08,0.85
3.100000000000009e-08,0.85
3.110000000000009e-08,0.85
3.120000000000009e-08,0.85
3.130000000000009e-08,0.85
3.14000000000001e-08,0.85
3.15000000000001e-08,0.85
3.16000000000001e-08,0.85
3.17000000000001e-08,0.85
3.18000000000001e-08,0.85
3.19000000000001e-08,0.85
3.20000000000001e-08,0.85
3.21000000000001e-08,0.85
3.22000000000001e-08,0.85
3.23000000000001e-08,0.85
3.24000000000001e-08,0.85
3.250000000000011e-08,0.85
3.260000000000011e-08,0.85
3.270000000000011e-08,0.85
3.280000000000011e-08,0.85
3.290000000000011e-08,0.85
3.300000000000011e-08,0.85
3.310000000000011e-08,0.85
3.320000000000011e-08,0.85
3.330000000000011e-08,0.85
3.340000000000011e-08,0.85
3.350000000000011e-08,0.85
3.360000000000012e-08,0.85
3.370000000000012e-08,0.85
3.380000000000012e-08,0.85
3.390000000000012e-08,0.85
3.400000000000012e-08,0.85
3.410000000000012e-08,0.85
3.420000000000012e-08,0.85
3.430000000000012e-08,0.85
