A,B,input_time,output_time,delay,delay_si_format
0,0,1.0099999999999981e-08,2.009999999999999e-08,1.000000000000001e-08,10.0 n
0,1,3.0100000000000084e-08,4.0100000000000174e-08,1.000000000000009e-08,10.0 n
0,2,5.0100000000000263e-08,6.010000000000032e-08,1.0000000000000056e-08,10.0 n
0,3,7.009999999999976e-08,8.009999999999919e-08,9.999999999999428e-09,10.0 n
0,4,9.00999999999986e-08,1.00099999999998e-07,9.999999999999401e-09,10.0 n
0,5,1.100999999999975e-07,1.20099999999997e-07,9.999999999999507e-09,10.0 n
0,6,1.300999999999978e-07,1.400999999999985e-07,1.0000000000000698e-08,10.0 n
0,7,1.500999999999993e-07,1.601e-07,1.0000000000000698e-08,10.0 n
0,8,1.701000000000008e-07,1.801000000000015e-07,1.0000000000000698e-08,10.0 n
0,9,1.901000000000023e-07,2.00100000000003e-07,1.0000000000000698e-08,10.0 n
0,10,2.101000000000038e-07,2.201000000000045e-07,1.0000000000000698e-08,10.0 n
0,11,2.301000000000053e-07,2.40100000000006e-07,1.0000000000000725e-08,10.0 n
0,12,2.501000000000068e-07,2.601000000000075e-07,1.0000000000000698e-08,10.0 n
0,13,2.701000000000083e-07,2.80100000000009e-07,1.0000000000000751e-08,10.0 n
0,14,2.901000000000098e-07,3.001000000000105e-07,1.0000000000000698e-08,10.0 n
0,15,3.101000000000113e-07,3.20100000000012e-07,1.0000000000000698e-08,10.0 n
1,0,3.301000000000128e-07,3.401000000000135e-07,1.0000000000000698e-08,10.0 n
1,1,3.501000000000143e-07,3.702000000000158e-07,2.010000000000151e-08,20.1 n
1,2,3.701000000000158e-07,3.902000000000173e-07,2.010000000000151e-08,20.1 n
1,3,3.901000000000173e-07,4.102000000000188e-07,2.010000000000151e-08,20.1 n
1,4,4.101000000000188e-07,4.302000000000203e-07,2.010000000000151e-08,20.1 n
1,5,4.301000000000203e-07,4.502000000000218e-07,2.010000000000151e-08,20.1 n
1,6,4.501000000000218e-07,4.702000000000233e-07,2.010000000000151e-08,20.1 n
1,7,4.701000000000233e-07,4.902000000000248e-07,2.0100000000001457e-08,20.1 n
1,8,4.901000000000248e-07,5.102000000000263e-07,2.010000000000151e-08,20.1 n
1,9,5.101000000000263e-07,5.302000000000278e-07,2.010000000000151e-08,20.1 n
1,10,5.301000000000278e-07,5.502000000000293e-07,2.010000000000151e-08,20.1 n
1,11,5.501000000000293e-07,5.702000000000308e-07,2.010000000000151e-08,20.1 n
1,12,5.701000000000308e-07,5.902000000000323e-07,2.010000000000151e-08,20.1 n
1,13,5.901000000000323e-07,6.102000000000338e-07,2.010000000000151e-08,20.1 n
1,14,6.101000000000338e-07,6.302000000000353e-07,2.010000000000151e-08,20.1 n
1,15,6.301000000000353e-07,6.502000000000368e-07,2.010000000000151e-08,20.1 n
2,0,6.501000000000368e-07,6.702000000000383e-07,2.010000000000151e-08,20.1 n
2,1,6.701000000000383e-07,6.902000000000398e-07,2.010000000000151e-08,20.1 n
2,2,6.901000000000398e-07,7.102000000000413e-07,2.010000000000151e-08,20.1 n
2,3,7.101000000000413e-07,7.302000000000428e-07,2.010000000000151e-08,20.1 n
2,4,7.301000000000428e-07,7.502000000000443e-07,2.010000000000151e-08,20.1 n
2,5,7.501000000000443e-07,7.702000000000458e-07,2.010000000000151e-08,20.1 n
2,6,7.701000000000458e-07,7.902000000000473e-07,2.010000000000151e-08,20.1 n
2,7,7.901000000000473e-07,8.102000000000488e-07,2.010000000000151e-08,20.1 n
2,8,8.101000000000488e-07,8.302000000000503e-07,2.010000000000151e-08,20.1 n
2,9,8.301000000000503e-07,8.502000000000518e-07,2.010000000000151e-08,20.1 n
2,10,8.501000000000518e-07,8.702000000000533e-07,2.010000000000151e-08,20.1 n
2,11,8.701000000000533e-07,8.902000000000548e-07,2.010000000000151e-08,20.1 n
2,12,8.901000000000548e-07,9.102000000000564e-07,2.0100000000001616e-08,20.1 n
2,13,9.101000000000564e-07,9.302000000000578e-07,2.0100000000001404e-08,20.1 n
2,14,9.301000000000578e-07,9.502000000000592e-07,2.0100000000001404e-08,20.1 n
2,15,9.501000000000592e-07,9.702000000000608e-07,2.0100000000001616e-08,20.1 n
3,0,9.701000000000608e-07,9.902000000000623e-07,2.010000000000151e-08,20.1 n
3,1,9.901000000000623e-07,1.010200000000064e-06,2.0100000000001722e-08,20.1 n
3,2,1.010100000000064e-06,1.030200000000065e-06,2.0100000000000875e-08,20.1 n
3,3,1.030100000000065e-06,1.050200000000067e-06,2.0100000000002145e-08,20.1 n
3,4,1.050100000000067e-06,1.070200000000068e-06,2.0100000000000875e-08,20.1 n
3,5,1.070100000000068e-06,1.09020000000007e-06,2.0100000000002145e-08,20.1 n
3,6,1.09010000000007e-06,1.110200000000071e-06,2.0100000000000875e-08,20.1 n
